k,jk_size
799,64
800,128
801,8
802,16
803,16
804,32
805,16
806,32
807,32
808,64
809,16
810,32
811,32
812,64
813,32
814,64
815,64
816,128
817,16
818,32
819,32
820,64
821,32
822,64
823,64
824,128
825,32
826,64
827,64
828,128
829,64
830,128
831,128
832,256
833,8
834,16
835,16
836,32
837,16
838,32
839,32
840,64
841,16
842,32
843,32
844,64
845,32
846,64
847,64
848,128
849,16
850,32
851,32
852,64
853,32
854,64
855,64
856,128
857,32
858,64
859,64
860,128
861,64
862,128
863,128
864,256
865,16
866,32
867,32
868,64
869,32
870,64
871,64
872,128
873,32
874,64
875,64
876,128
877,64
878,128
879,128
880,256
881,32
882,64
883,64
884,128
885,64
886,128
887,128
888,256
889,64
890,128
891,128
892,256
893,128
894,256
895,256
896,512
897,8
898,16
899,16
900,32
901,16
902,32
903,32
904,64
905,16
906,32
907,32
908,64
909,32
910,64
911,64
912,128
913,16
914,32
915,32
916,64
917,32
918,64
919,64
920,128
921,32
922,64
923,64
924,128
925,64
926,128
927,128
928,256
929,16
930,32
931,32
932,64
933,32
934,64
935,64
936,128
937,32
938,64
939,64
940,128
941,64
942,128
943,128
944,256
945,32
946,64
947,64
948,128
949,64
950,128
951,128
952,256
953,64
954,128
955,128
956,256
957,128
958,256
959,256
960,512
961,16
962,32
963,32
964,64
965,32
966,64
967,64
968,128
969,32
970,64
971,64
972,128
973,64
974,128
975,128
976,256
977,32
978,64
979,64
980,128
981,64
982,128
983,128
984,256
985,64
986,128
987,128
988,256
989,128
990,256
991,256
992,512
993,32
994,64
995,64
996,128
997,64
998,128
999,128
1000,256
